"","id","baseMean","baseMeanA","baseMeanB","foldChange","log2FoldChange","pval","padj"
"64","TbxB",0.851723070414765,0,1.36275691266362,Inf,Inf,0.281049349291149,0.546906841863857
"65","TbxC",112.045443416396,124.382081835878,104.643460364707,0.841306551716862,-0.249296515504001,0.324484188506879,0.614812146644612
"66","Pl10A",8.82495595683391,2.26708517918966,12.7596784234205,5.62823070811184,2.49268146763396,0.00668850102422305,0.0401310061453383
"67","Pl10B",869.150320400316,605.592417360547,1027.28506222418,1.69633078746521,0.762417525386212,0.0134578157963864,0.0658205737952447
"68","VasaA",66.4434383634001,59.5780834996113,70.5626512816734,1.18437262726207,0.244123053033024,0.4982347559162,0.763253243105667
"69","VasaB",144.630675233145,140.591039446522,147.054456705119,1.04597318068095,0.0648458605766022,0.877678879717896,1
"70","Nanos",26.0532094222438,27.3992933152099,25.2455590864641,0.921394533648422,-0.118109055987681,0.916182032357022,1
"71","Gata",339.088056795276,196.542776349149,424.615225062953,2.16042142555595,1.11131276111873,0.000538211182758457,0.00484390064482611
"72","Gli",85.1542350045629,66.7169222131799,96.2166226793927,1.44216219045526,0.528233424084461,0.152472174031678,0.392071304652886
"73","Hedgling",516.61776683695,351.703555010615,615.566293932751,1.75024188741616,0.807554319577846,0.00887426899305634,0.0491497975000043
